Pair_mouse,Experimental condition information,Human Gender,Condition
ERR1763213 ,273.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d29,,273.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d29
ERR1763214 ,274.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d36,,274.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d36
ERR1763215 ,275.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d48,,275.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d48
ERR1763216 ,276.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d54,,276.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d54
ERR1763217 ,277.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d55,,277.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d55
ERR1763218 ,278.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d56,,278.MF.Mfec.CRON1.M1.AMERdiet.AdLib.d56
ERR1763219 ,279.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d0.5,,279.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d0.5
ERR1763221 ,280.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d1; mouse gut metagenome,,280.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d1; mouse gut metagenome
ERR1763222 ,281.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d1.5,,281.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d1.5
ERR1763223 ,282.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d2,,282.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d2
ERR1763224 ,283.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d8,,283.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d8
ERR1763225 ,284.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d15,,284.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d15
ERR1763226 ,285.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d22,,285.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d22
ERR1763227 ,286.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d29; mouse gut metagenome,,286.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d29; mouse gut metagenome
ERR1763228 ,287.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d36,,287.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d36
ERR1763229 ,288.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d48,,288.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d48
ERR1763230 ,289.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d54,,289.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d54
ERR1763232 ,290.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d56,,290.MF.Mfec.CRON1.M2.CRONdiet.Restricted.d56
ERR1763233 ,291.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d0.5,,291.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d0.5
ERR1763234 ,292.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d1; mouse gut metagenome,,292.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d1; mouse gut metagenome
ERR1763235 ,293.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d1.5,,293.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d1.5
ERR1763236 ,294.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d2,,294.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d2
ERR1763237 ,295.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d8,,295.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d8
ERR1763238 ,296.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d15; mouse gut metagenome,,296.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d15; mouse gut metagenome
ERR1763239 ,297.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d22,,297.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d22
ERR1763240 ,298.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d29,,298.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d29
ERR1763241 ,299.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d36,,299.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d36
ERR1763244 ,300.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d48,,300.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d48
ERR1763245 ,301.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d54,,301.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d54
ERR1763246 ,302.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d56; mouse gut metagenome,,302.MF.Mfec.CRON1.M3.CRONdiet.AdLib.d56; mouse gut metagenome
ERR1763247 ,303.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d0; mouse gut metagenome,,303.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d0; mouse gut metagenome
ERR1763248 ,304.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d0.5,,304.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d0.5
ERR1763249 ,305.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d1,,305.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d1
ERR1763250 ,306.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d1.5,,306.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d1.5
ERR1763251 ,307.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d2,,307.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d2
ERR1763252 ,308.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d8; mouse gut metagenome,,308.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d8; mouse gut metagenome
ERR1763253 ,309.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d15,,309.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d15
ERR1763255 ,310.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d22; mouse gut metagenome,,310.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d22; mouse gut metagenome
ERR1763256 ,311.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d29,,311.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d29
ERR1763257 ,312.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d36,,312.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d36
ERR1763258 ,313.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d48,,313.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d48
ERR1763259 ,314.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d54; mouse gut metagenome,,314.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d54; mouse gut metagenome
ERR1763260 ,315.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d55; mouse gut metagenome,,315.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d55; mouse gut metagenome
ERR1763261 ,316.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d56; mouse gut metagenome,,316.MF.Mfec.CRON2.M1.AMERdiet.AdLib.d56; mouse gut metagenome
ERR1763262 ,317.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d0,,317.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d0
ERR1763263 ,318.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d1; mouse gut metagenome,,318.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d1; mouse gut metagenome
ERR1763264 ,319.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d1.5; mouse gut metagenome,,319.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d1.5; mouse gut metagenome
ERR1763266 ,320.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d2,,320.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d2
ERR1763267 ,321.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d8; mouse gut metagenome,,321.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d8; mouse gut metagenome
ERR1763268 ,322.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d15,,322.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d15
ERR1763269 ,323.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d22,,323.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d22
ERR1763270 ,324.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d29,,324.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d29
ERR1763271 ,325.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d36; mouse gut metagenome,,325.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d36; mouse gut metagenome
ERR1763272 ,326.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d48,,326.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d48
ERR1763273 ,327.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d54,,327.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d54
