"","mouse","condition","fed","Genus","humanPer","mousePer","reduced_pct"
"233","ERR1310112","Infantformula+fruitsandvegetables","humanfood","Anaerostipes",0.39242844,2.404086948,2.614987571
"234","ERR1310112","Infantformula+fruitsandvegetables","humanfood","Bacteroides",1.246537396,53.73134328,5.429765836
"235","ERR1310112","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",9.072022161,1.262145648,-2.845545762
"236","ERR1310112","Infantformula+fruitsandvegetables","humanfood","Eubacterium",1.500461681,0.611038766,-1.296070659
"237","ERR1310113","Infantformula+fruitsandvegetables","humanfood","Bacteroides",1.246537396,51.06225753,5.356259253
"238","ERR1310113","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",9.072022161,10.62257528,0.227637498
"239","ERR1310113","Infantformula+fruitsandvegetables","humanfood","Eubacterium",1.500461681,0.424903011,-1.820201002
"240","ERR1310113","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.992613112,0.905228154,-0.132950056
"241","ERR1310113","Infantformula+fruitsandvegetables","humanfood","Bifidobacterium",35.50323176,2.715684463,-3.708562588
"242","ERR1310113","Infantformula+fruitsandvegetables","humanfood","Anaerostipes",0.39242844,1.477923517,1.913070109
"243","ERR1310113","Infantformula+fruitsandvegetables","humanfood","Roseburia",3.78578024,1.145390726,-1.724750839
"244","ERR1310113","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",2.16989843,6.09643451,1.490338217
"245","ERR1310113","Infantformula+fruitsandvegetables","humanfood","Ruminiclostridium",4.224376731,0.794383891,-2.410830229
"246","ERR1310114","Infantformula+fruitsandvegetables","humanfood","Ruminiclostridium",4.224376731,0.733291431,-2.526279915
"247","ERR1310114","Infantformula+fruitsandvegetables","humanfood","Anaerostipes",0.39242844,0.188560654,-1.057400933
"248","ERR1310114","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",2.16989843,12.46595433,2.522293913
"249","ERR1310114","Infantformula+fruitsandvegetables","humanfood","Streptococcus",7.779316713,0.125707102,-5.951505374
"250","ERR1310114","Infantformula+fruitsandvegetables","humanfood","Bifidobacterium",35.50323176,1.361826943,-4.704335068
"251","ERR1310114","Infantformula+fruitsandvegetables","humanfood","Roseburia",3.78578024,0.314267756,-3.590524502
"252","ERR1310114","Infantformula+fruitsandvegetables","humanfood","Bacteroides",1.246537396,19.73601508,3.984832654
"253","ERR1310114","Infantformula+fruitsandvegetables","humanfood","Eubacterium",1.500461681,0.146658286,-3.354875984
"254","ERR1310114","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.992613112,0.817096166,-0.280725629
"255","ERR1310114","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",9.072022161,1.592289964,-2.510321082
"256","ERR1310115","Infantformula+fruitsandvegetables","humanfood","Roseburia",3.78578024,0.28353977,-3.738967655
"257","ERR1310115","Infantformula+fruitsandvegetables","humanfood","Anaerostipes",0.39242844,0.298462916,-0.394877911
"258","ERR1310115","Infantformula+fruitsandvegetables","humanfood","Eubacterium",1.500461681,0.298462916,-2.329782882
